[_id : 687763c018950b6e283fd716], [id : 100111], [is_active : false], [employee_name : Scott], [job_title : Software Engineer], [address : OakAvenue Nashvalli WY 60601], [join_date : Mon Nov 28 00:00:00 GMT 2005], [timestamp_col : 2002-07-21T06:09:01], [duration : 14ms], [salary : 6.696542771E8], [bonus : 107273.994], [hash1 : -1053064537], [hash2 : 60322340], [code : -13165], [debit : 18292.270], [count_col : 52], [amount : 265469.100], [balance : 51468152], [rate : -121785.557], [difference : -115]
[_id : 687763c018950b6e283fd717], [id : 101000], [is_active : false], [employee_name : Brandon], [job_title : Software Engineer], [address : OakAvenue Austin TN 4300], [join_date : Tue Dec 08 00:00:00 GMT 2020], [timestamp_col : 2012-10-04T12:20:35], [duration : 14s], [salary : 7.456765759E8], [bonus : 18035.272], [hash1 : -1000708512], [hash2 : 2078573935], [code : 15029], [debit : -210257.790], [count_col : -116], [amount : 129995.080], [balance : 58720025], [rate : 146376.868], [difference : -26]
[_id : 687763c018950b6e283fd722], [id : 110011], [is_active : true], [employee_name : Tyler], [job_title : Software Engineer], [address : OakAvenue Phoenix OK 44], [join_date : Mon Apr 01 00:00:00 GMT 2013], [timestamp_col : 2004-10-17T11:40:52], [duration : 5s], [salary : 8.386513793E8], [bonus : 399094.826], [hash1 : -327040092], [hash2 : 1186957784], [code : 5803], [debit : -291655.390], [count_col : -37], [amount : 24822.660], [balance : -30816094], [rate : 404458.840], [difference : 70]
[_id : 687763c018950b6e283fd6f9], [id : 1010], [is_active : false], [employee_name : Christopher], [job_title : Software Engineer], [address : RingRoad SanDiego VT 90001], [join_date : Sun May 04 00:00:00 GMT 2014], [timestamp_col : 2007-09-18T20:42:22], [duration : 2msecs], [salary : 1128991016], [bonus : 53347.615], [hash1 : -1614541357], [hash2 : -905329174], [code : 4837], [debit : 221722.480], [count_col : -71], [amount : 365884.900], [balance : 75235962], [rate : -320847.061], [difference : 28]
[_id : 687763c018950b6e283fd718], [id : 101001], [is_active : false], [employee_name : Benjamin], [job_title : Software Engineer], [address : ElmStreet Dallas OH 90032], [join_date : Thu Apr 04 00:00:00 GMT 2019], [timestamp_col : 2020-07-31T20:45:29], [duration : 8msecs], [salary : 5.962200013E8], [bonus : 6086.879], [hash1 : 72215673], [hash2 : 1021906319], [code : -9496], [debit : 134740.700], [count_col : -114], [amount : 312303.240], [balance : 15060491], [rate : -413103.504], [difference : -52]
[_id : 687763c018950b6e283fd6fc], [id : 1101], [is_active : true], [employee_name : Matthew], [job_title : Software Engineer], [address : SunsetValley Houston TN 90001], [join_date : Wed Feb 05 00:00:00 GMT 2020], [timestamp_col : 2012-09-10T02:08:31], [duration : 12s], [salary : 1.983922613E8], [bonus : -6475.148], [hash1 : -436810049], [hash2 : -174418418], [code : -7464], [debit : -269834.230], [count_col : -87], [amount : 25107.980], [balance : -55039902], [rate : 220189.549], [difference : 41]
[_id : 687763c018950b6e283fd6f7], [id : 1000], [is_active : false], [employee_name : Joseph], [job_title : Software Engineer], [address : MapleStreet Seattle MN 33], [join_date : Sat May 02 00:00:00 GMT 2015], [timestamp_col : 1999-10-01T04:39:59], [duration : 14msecs], [salary : 7.351605561E8], [bonus : 371709.593], [hash1 : -673855038], [hash2 : 228692374], [code : 5112], [debit : 154864.620], [count_col : -6], [amount : 308067.560], [balance : None], [rate : 61818.622], [difference : -24]
[_id : 687763c018950b6e283fd709], [id : 11010], [is_active : true], [employee_name : Ronald], [job_title : Software Engineer], [address : ElmStreet Houston OH 44], [join_date : Wed Nov 28 00:00:00 GMT 2001], [timestamp_col : 2014-03-17T11:45:20], [duration : 10Years], [salary : 6.086570691E7], [bonus : 398246.472], [hash1 : -1184371235], [hash2 : 1179394596], [code : -15638], [debit : 234177.930], [count_col : 89], [amount : 57424.090], [balance : 64971015], [rate : 344000.261], [difference : -78]
[_id : 687763c018950b6e283fd74b], [id : 1011100], [is_active : false], [employee_name : Vincent], [job_title : Software Engineer], [address : None], [join_date : Mon Oct 05 00:00:00 GMT 2009], [timestamp_col : 2016-09-30T04:09:15], [duration : 10ms], [salary : 4.691505808E8], [bonus : 145628.039], [hash1 : -87367937], [hash2 : -1665235745], [code : 10345], [debit : 412101.480], [count_col : -41], [amount : 192835.250], [balance : -1957726], [rate : 61500.767], [difference : 7]
[_id : 687763c018950b6e283fd73f], [id : 1010000], [is_active : true], [employee_name : Billy], [job_title : Software Engineer], [address : CedatLane NewYork KS 3342], [join_date : Fri Jul 26 00:00:00 GMT 2013], [timestamp_col : 2006-01-21T05:44:47], [duration : 4s], [salary : 6.613139987E7], [bonus : 206123.174], [hash1 : -1876208210], [hash2 : -252922183], [code : -12376], [debit : -236159.750], [count_col : -29], [amount : 39434.370], [balance : 54044622], [rate : 200567.775], [difference : -116]
[_id : None], [id : None], [is_active : None], [employee_name : None], [job_title : None], [address : None], [join_date : None], [timestamp_col : None], [duration : None], [salary : None], [bonus : None], [hash1 : None], [hash2 : None], [code : None], [debit : None], [count_col : None], [amount : None], [balance : None], [rate : None], [difference : None]
[_id : None], [id : None], [is_active : None], [employee_name : None], [job_title : None], [address : None], [join_date : None], [timestamp_col : None], [duration : None], [salary : None], [bonus : None], [hash1 : None], [hash2 : None], [code : None], [debit : None], [count_col : None], [amount : None], [balance : None], [rate : None], [difference : None]
[_id : None], [id : None], [is_active : None], [employee_name : None], [job_title : None], [address : None], [join_date : None], [timestamp_col : None], [duration : None], [salary : None], [bonus : None], [hash1 : None], [hash2 : None], [code : None], [debit : None], [count_col : None], [amount : None], [balance : None], [rate : None], [difference : None]
[_id : None], [id : None], [is_active : None], [employee_name : None], [job_title : None], [address : None], [join_date : None], [timestamp_col : None], [duration : None], [salary : None], [bonus : None], [hash1 : None], [hash2 : None], [code : None], [debit : None], [count_col : None], [amount : None], [balance : None], [rate : None], [difference : None]
[_id : None], [id : None], [is_active : None], [employee_name : None], [job_title : None], [address : None], [join_date : None], [timestamp_col : None], [duration : None], [salary : None], [bonus : None], [hash1 : None], [hash2 : None], [code : None], [debit : None], [count_col : None], [amount : None], [balance : None], [rate : None], [difference : None]
